,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
4,2020,1,1,0,40,3.7,5.1,2.19,16.0,9.15,263,1016.4,16.2,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
10,2020,1,1,1,40,2.0,3.8,2.07,13.79,8.97,267,1016.7,16.0,11.7,Ideal (3-9 ft),Ideal(<3 mph)
16,2020,1,1,2,40,4.9,6.4,1.97,11.43,8.99,263,1017.0,16.3,10.9,Small (<2 ft),Moderate (3-19 mph)
22,2020,1,1,3,40,5.3,6.6,2.11,14.81,9.08,267,1017.4,15.9,12.1,Ideal (3-9 ft),Moderate (3-19 mph)
28,2020,1,1,4,40,5.9,7.7,2.01,14.81,9.04,262,1017.9,16.2,11.7,Ideal (3-9 ft),Moderate (3-19 mph)
34,2020,1,1,5,40,5.6,7.3,1.76,13.79,7.93,267,1018.1,15.8,12.6,Small (<2 ft),Moderate (3-19 mph)
40,2020,1,1,6,40,4.7,6.1,1.74,14.81,8.24,269,1018.2,15.5,12.8,Small (<2 ft),Moderate (3-19 mph)
46,2020,1,1,7,40,4.5,5.8,1.88,14.81,8.44,271,1018.3,15.3,12.6,Small (<2 ft),Moderate (3-19 mph)
52,2020,1,1,8,40,1.1,2.2,1.83,12.9,8.0,278,1017.7,15.2,12.4,Small (<2 ft),Ideal(<3 mph)
58,2020,1,1,9,40,0.0,0.5,1.71,12.9,8.23,277,1017.6,14.8,12.4,Small (<2 ft),
64,2020,1,1,10,40,5.3,6.9,1.96,13.79,8.73,273,1018.1,15.0,12.7,Small (<2 ft),Moderate (3-19 mph)
70,2020,1,1,11,40,5.5,7.2,1.97,12.9,8.28,272,1018.1,14.8,12.9,Small (<2 ft),Moderate (3-19 mph)
76,2020,1,1,12,40,3.0,4.1,1.78,13.79,7.76,271,1017.5,14.7,12.7,Small (<2 ft),Ideal(<3 mph)
82,2020,1,1,13,40,3.8,5.4,1.76,12.9,7.81,262,1017.8,14.7,12.9,Small (<2 ft),Moderate (3-19 mph)
88,2020,1,1,14,40,3.3,4.6,1.81,13.79,7.85,265,1018.3,14.8,12.7,Small (<2 ft),Moderate (3-19 mph)
94,2020,1,1,15,40,3.3,4.6,1.77,13.79,8.2,270,1018.5,14.8,12.7,Small (<2 ft),Moderate (3-19 mph)
100,2020,1,1,16,40,1.8,2.5,1.58,13.79,7.82,266,1017.7,15.0,12.2,Small (<2 ft),Ideal(<3 mph)
106,2020,1,1,17,40,3.3,4.3,1.79,13.79,8.59,264,1018.7,15.0,12.5,Small (<2 ft),Moderate (3-19 mph)
112,2020,1,1,18,40,4.3,5.5,1.71,12.9,8.57,266,1018.5,15.0,12.7,Small (<2 ft),Moderate (3-19 mph)
118,2020,1,1,19,40,3.5,4.8,1.82,14.81,8.88,263,1016.7,14.9,12.3,Small (<2 ft),Moderate (3-19 mph)
124,2020,1,1,20,40,5.1,6.6,1.86,23.53,9.34,259,1015.7,15.0,12.5,Small (<2 ft),Moderate (3-19 mph)
130,2020,1,1,21,40,5.3,6.5,1.81,23.53,8.55,277,1014.8,15.0,12.5,Small (<2 ft),Moderate (3-19 mph)
142,2020,1,1,23,40,7.0,8.7,1.97,21.05,8.18,284,1015.1,14.7,11.8,Small (<2 ft),Moderate (3-19 mph)
148,2020,1,2,0,40,6.0,7.6,1.89,21.05,7.24,257,1014.7,14.7,12.1,Small (<2 ft),Moderate (3-19 mph)
154,2020,1,2,1,40,4.8,6.4,1.98,21.05,7.65,260,1013.8,14.6,11.9,Small (<2 ft),Moderate (3-19 mph)
160,2020,1,2,2,40,4.6,6.0,2.11,21.05,7.48,262,1013.8,14.5,11.6,Ideal (3-9 ft),Moderate (3-19 mph)
166,2020,1,2,3,40,4.4,5.8,2.28,21.05,8.29,256,1013.7,14.6,12.0,Ideal (3-9 ft),Moderate (3-19 mph)
172,2020,1,2,4,40,4.3,5.9,2.24,21.05,8.59,263,1013.1,14.8,11.7,Ideal (3-9 ft),Moderate (3-19 mph)
178,2020,1,2,5,40,6.0,7.7,1.94,21.05,7.85,270,1013.7,14.9,12.3,Small (<2 ft),Moderate (3-19 mph)
184,2020,1,2,6,40,3.5,4.6,1.96,21.05,7.71,286,1013.4,14.8,12.3,Small (<2 ft),Moderate (3-19 mph)
190,2020,1,2,7,40,1.6,2.7,1.93,19.05,8.2,270,1013.0,14.8,11.9,Small (<2 ft),Ideal(<3 mph)
196,2020,1,2,8,40,1.1,2.7,2.34,21.05,9.19,279,1012.9,14.9,12.0,Ideal (3-9 ft),Ideal(<3 mph)
202,2020,1,2,9,40,1.2,2.5,2.27,19.05,8.33,256,1012.5,14.7,11.8,Ideal (3-9 ft),Ideal(<3 mph)
208,2020,1,2,10,40,1.1,2.4,2.7,19.05,9.71,260,1012.6,14.6,11.8,Ideal (3-9 ft),Ideal(<3 mph)
