#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2021,1,1,0,0,999,11,13.6,99,99,99,999,1012.9,14.9,999,9.5,99,99
2021,1,1,0,10,999,11.5,14.4,99,99,99,999,1013,14.9,999,9.4,99,99
2021,1,1,0,20,999,11.1,14.4,99,99,99,999,1013,14.8,999,9.5,99,99
2021,1,1,0,30,999,9.6,12.5,99,99,99,999,1013.1,14.9,999,10.1,99,99
2021,1,1,0,40,999,9.4,11.5,99,99,99,999,1013.3,14.8,999,10.2,99,99
2021,1,1,0,50,999,99,99,99,99,99,999,1013.3,999,999,999,99,99
2021,1,1,1,0,999,8.9,11.2,99,99,99,999,1013.4,14.8,999,9.7,99,99
2021,1,1,1,10,999,99,99,99,99,99,999,1013.5,999,999,999,99,99
2021,1,1,1,20,999,8.8,11.8,99,99,99,999,1013.8,14.9,999,10.2,99,99
2021,1,1,1,30,999,8.3,11.7,99,99,99,999,1013.8,14.5,999,10.4,99,99
2021,1,1,1,40,999,9,11.6,2.98,9.09,6.8,285,1013.9,14.5,999,10.4,99,99
2021,1,1,1,50,999,9.6,12.2,99,99,99,999,1013.9,14.5,999,10.4,99,99
2021,1,1,2,0,999,9.5,11.8,99,99,99,999,1014.1,14.6,999,10.4,99,99
2021,1,1,2,10,999,10.1,13,99,99,99,999,1014.1,14.6,999,10.5,99,99
2021,1,1,2,20,999,9.8,12,99,99,99,999,1014,14.6,999,10.5,99,99
2021,1,1,2,30,999,9.7,11.7,99,99,99,999,1014,14.6,999,10.5,99,99
2021,1,1,2,40,999,9.3,11.8,2.94,17.39,6.92,293,1014.1,14.6,999,10.7,99,99
2021,1,1,2,50,999,9.6,12,99,99,99,999,1014.1,14.5,999,10.8,99,99
2021,1,1,3,0,999,8.9,11.3,99,99,99,999,1014.1,14.5,999,10.8,99,99
2021,1,1,3,10,999,8.9,11.4,99,99,99,999,1014.2,14.7,999,9.5,99,99
2021,1,1,3,20,999,8.4,10.1,99,99,99,999,1014.3,14.9,999,9.8,99,99
2021,1,1,3,30,999,8,9.6,99,99,99,999,1014.4,14.8,999,10.3,99,99
2021,1,1,3,40,999,7.6,10.2,99,99,99,999,1014.4,14.7,999,10.6,99,99
2021,1,1,3,50,999,7.6,10,99,99,99,999,1014.3,14.7,999,10.1,99,99
2021,1,1,4,0,999,7.6,9.6,99,99,99,999,1014.3,15,999,9.7,99,99
2021,1,1,4,10,999,7.9,10.2,99,99,99,999,1014.3,14.9,999,9.5,99,99
2021,1,1,4,20,999,8.6,10.9,99,99,99,999,1014.1,14.9,999,9.7,99,99
2021,1,1,4,30,999,8.2,10.7,99,99,99,999,1014.2,14.9,999,10.1,99,99
2021,1,1,4,40,999,8.2,10.5,2.79,9.09,6.97,285,1014.2,14.8,999,9.8,99,99
2021,1,1,4,50,999,7.7,9.7,99,99,99,999,1014.4,14.9,999,9.8,99,99
2021,1,1,5,0,999,6.9,9.2,99,99,99,999,1014.4,14.9,999,9.9,99,99
2021,1,1,5,10,999,6.8,8.7,99,99,99,999,1014.4,14.9,999,10.2,99,99
2021,1,1,5,20,999,7,9.1,99,99,99,999,1014.6,14.9,999,10.1,99,99
2021,1,1,5,30,999,7.2,9.6,99,99,99,999,1014.6,14.9,999,9.8,99,99
2021,1,1,5,40,999,7.5,9.8,2.65,16,7.09,286,1014.6,14.9,999,9.6,99,99
2021,1,1,5,50,999,7.5,9,99,99,99,999,1014.7,15,999,9.7,99,99
2021,1,1,6,0,999,7.9,10.2,99,99,99,999,1014.7,15,999,9.5,99,99
2021,1,1,6,10,999,8,9.8,99,99,99,999,1014.7,15,999,9.6,99,99
2021,1,1,6,20,999,7.2,9.6,99,99,99,999,1014.8,15,999,9.6,99,99
2021,1,1,6,30,999,7,9.1,99,99,99,999,1014.8,15.1,999,9.4,99,99
2021,1,1,6,40,999,8,10.2,2.5,16,7.21,288,1014.8,15.2,999,9.2,99,99
2021,1,1,6,50,999,7.5,9.2,99,99,99,999,1014.9,15.2,999,9,99,99
2021,1,1,7,0,999,7,9.4,99,99,99,999,1015,15.2,999,9.1,99,99
2021,1,1,7,10,999,6.5,7.8,99,99,99,999,1014.8,15.2,999,9.2,99,99
2021,1,1,7,20,999,6.1,8.1,99,99,99,999,1014.9,15.2,999,9.2,99,99
2021,1,1,7,30,999,6.1,8,99,99,99,999,1014.9,15.2,999,9.1,99,99
2021,1,1,7,40,999,6.4,7.7,2.72,16,7.28,291,1014.8,15.3,999,8.8,99,99
2021,1,1,7,50,999,5.8,7.4,99,99,99,999,1014.9,15.3,999,8.9,99,99
2021,1,1,8,0,999,5.4,6.8,99,99,99,999,1014.9,15.3,999,9.4,99,99
2021,1,1,8,10,999,5.9,7.5,99,99,99,999,1014.9,15.1,999,9.7,99,99
2021,1,1,8,20,999,6.3,7.7,99,99,99,999,1014.9,15.1,999,9.7,99,99
2021,1,1,8,30,999,6.9,8.4,99,99,99,999,1014.8,15.1,999,9.8,99,99
2021,1,1,8,40,999,6.6,8.5,2.54,8.33,7.4,286,1014.8,15.1,999,9.4,99,99
2021,1,1,8,50,999,6.7,8.4,99,99,99,999,1014.8,15.2,999,9.2,99,99
2021,1,1,9,0,999,6.5,8.4,99,99,99,999,1014.7,15.3,999,8.9,99,99
2021,1,1,9,10,999,5.9,7.3,99,99,99,999,1014.8,15.2,999,9.9,99,99
2021,1,1,9,20,999,5.5,7.6,99,99,99,999,1014.7,15.1,999,10,99,99
2021,1,1,9,30,999,5.1,6.5,99,99,99,999,1014.8,15.1,999,10.1,99,99
2021,1,1,9,40,999,5.9,7.4,2.53,16,7.64,276,1014.7,15.1,999,9.9,99,99
2021,1,1,9,50,999,5.8,7.5,99,99,99,999,1014.8,15.1,999,10.1,99,99
2021,1,1,10,0,999,5.1,6.5,99,99,99,999,1014.9,15,999,11.3,99,99
2021,1,1,10,10,999,5.1,7,99,99,99,999,1014.9,14.7,999,10.7,99,99
2021,1,1,10,20,999,4.9,6.3,99,99,99,999,1015,14.7,999,11.6,99,99
2021,1,1,10,30,999,5,6.5,99,99,99,999,1015.1,14.5,999,11.6,99,99
2021,1,1,10,40,999,4.5,6,2.39,17.39,7.67,294,1015,14.5,999,11.6,99,99
2021,1,1,10,50,999,4.2,5.5,99,99,99,999,1015.1,14.5,999,11.3,99,99
2021,1,1,11,0,999,4.5,5.9,99,99,99,999,1015.1,14.7,999,11.2,99,99
2021,1,1,11,10,999,4.9,6.3,99,99,99,999,1015.2,14.8,999,10.9,99,99
2021,1,1,11,20,999,4.5,6,99,99,99,999,1015.3,14.8,999,11,99,99
2021,1,1,11,30,999,4.3,5.6,99,99,99,999,1015.2,14.8,999,10.8,99,99
2021,1,1,11,40,999,4.5,6,2.33,16,7.54,270,1015.3,14.9,999,10.5,99,99
