Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
0,Imperial Beach,32.57583119,-117.1265769,07:07 AM,05:57 PM,Patchy rain possible,62,67,73,12,3.0
1,Border Field State Park,32.54494004,-117.1223413,07:07 AM,05:57 PM,Patchy rain possible,62,67,70,12,3.0
2,Pelican State Beach,41.992395,-124.209664,07:52 AM,06:09 PM,Light rain shower,48,52,100,4,10.5
3,Crescent Beach,41.72836258,-124.1531784,07:51 AM,06:10 PM,Light rain shower,46,51,100,6,7.9
4,Redwood National Park,41.20897003,-124.1190559,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
5,Prairie Creek Redwoods State Beach,41.40174089,-124.0416494,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
6,Humboldt Lagoons State Park,41.22522304,-124.0980863,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
7,Sue-meg State Park,41.13665293,-124.155297,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
8,Trinidad State Beach,41.06582175,-124.1497893,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
9,Little River State Beach,41.01688007,-124.1117529,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
10,Clam Beach County Park,40.99847401,-124.1151808,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
11,Sinkyone Wilderness State Park,39.92043479,-123.9397125,07:47 AM,06:12 PM,Patchy rain possible,49,53,84,8,8.2
12,Westport-Union Landing State Beach,39.67716307,-123.7912683,07:45 AM,06:12 PM,Partly cloudy,46,52,40,5,6.9
13,MacKerricher State Park,39.4886489,-123.7881132,07:45 AM,06:12 PM,Partly cloudy,47,52,26,6,7.9
14,Caspar Headlands State Beach,39.3627382,-123.8172252,07:45 AM,06:12 PM,Partly cloudy,47,52,26,6,7.9
15,Russian Gulch State Park,39.33310956,-123.8058978,07:45 AM,06:12 PM,Partly cloudy,47,52,26,6,7.9
16,Manchester State Park,38.98385949,-123.6993187,07:44 AM,06:13 PM,Partly cloudy,48,49,33,4,8.2
17,Schooner Gulch State Beach,38.86821949,-123.6547063,07:44 AM,06:13 PM,Patchy rain possible,48,49,80,4,8.2
18,Glass Beach,39.45277476,-123.8133215,07:45 AM,06:12 PM,Partly cloudy,47,52,26,6,7.9
19,Gualala Point Regional Park,38.76076189,-123.526723,07:44 AM,06:13 PM,Patchy rain possible,48,49,80,4,8.2
20,Kruse Rhododendron State Reserve,38.59299403,-123.3311264,07:42 AM,06:12 PM,Partly cloudy,48,51,16,0,7.5
21,Salt Point State Park,38.57666921,-123.3317278,07:42 AM,06:12 PM,Partly cloudy,48,51,16,0,7.5
22,Stillwater Cove Regional Park,38.54852987,-123.2943892,07:41 AM,06:12 PM,Partly cloudy,46,52,19,1,4.9
23,Clam Beach,40.99536694,-124.1109588,07:49 AM,06:11 PM,Patchy rain possible,47,52,86,7,9.5
24,Fort Ross State Historic Park,38.51617729,-123.2460254,07:41 AM,06:12 PM,Partly cloudy,46,52,19,1,4.9
25,Goat Rock Beach,38.44711794,-123.1265214,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
26,Blind Beach,38.43699972,-123.1223772,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
27,Shell Beach,38.50306292,-123.1417195,07:41 AM,06:12 PM,Partly cloudy,46,52,19,1,4.9
28,Wrights Beach,38.40033248,-123.0969266,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
29,Gleason Beach,38.39010789,-123.0857298,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
30,Schoolhouse Beach,38.37626954,-123.0786946,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
31,Carmet Beach,38.37254912,-123.0762862,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
32,Arched Rock Beach,38.36725878,-123.0726081,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
33,Coleman Beach,38.36596694,-123.0714996,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
34,Miwok Beach,38.36111029,-123.0691915,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
35,North Salmon Creek Beach,38.35991175,-123.0687585,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
36,South Salmon Creek Beach,38.33989879,-123.0684011,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
37,Sonoma Coast State Beach,38.42730398,-123.0997142,07:40 AM,06:11 PM,Partly cloudy,49,52,13,2,4.9
38,Doran Beach,38.31450636,-123.0443867,07:40 AM,06:11 PM,Partly cloudy,51,49,12,4,5.9
39,Doran Regional Park,38.31405857,-123.0487846,07:40 AM,06:11 PM,Partly cloudy,51,49,12,4,5.9
40,Tomales Bay State Park,38.12344382,-122.9013544,07:39 AM,06:11 PM,Partly cloudy,53,50,12,9,6.9
41,Point Reyes National Seashore,38.05334833,-122.8686076,07:39 AM,06:11 PM,Partly cloudy,53,50,12,9,6.9
42,Mount Tamalpais State Park,37.88916572,-122.6108739,07:37 AM,06:10 PM,Patchy rain possible,53,51,85,9,3.9
43,Stinson Beach Park,37.89914093,-122.6457161,07:38 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
44,Golden Gate National Recreation Area,37.83175951,-122.5385814,07:37 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
45,Dillon beach,38.25058272,-122.9669146,07:40 AM,06:11 PM,Partly cloudy,51,49,12,4,5.9
46,Muir Beach,37.86144576,-122.5794152,07:37 AM,06:10 PM,Patchy rain possible,53,51,85,9,3.9
47,Miller/Knox Beach,37.91654106,-122.3849756,07:37 AM,06:09 PM,Patchy rain possible,53,51,78,9,3.9
48,Albany Beach,37.889028,-122.317164,07:36 AM,06:09 PM,Partly cloudy,53,51,13,9,3.9
49,Radio Beach,37.82500399,-122.3177221,07:36 AM,06:09 PM,Patchy rain possible,53,51,82,9,3.9
50,Crown Memorial State Beach,37.76638543,-122.2719476,07:36 AM,06:09 PM,Patchy rain possible,52,55,86,6,5.9
51,Aquatic Park,37.85749931,-122.3006492,07:36 AM,06:09 PM,Partly cloudy,53,51,13,9,3.9
