Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
0,Border Field State Park,32.54494004,-117.1223413,6:18 AM,16:48,Partly cloudy,60,59,2,11,4.6
1,Pelican State Beach,41.992395,-124.209664,7:06 AM,16:57,Clear,46,51,0,10,9.2
2,Crescent Beach,41.72836258,-124.1531784,7:05 AM,16:57,Clear,44,51,0,9,7.2
3,Redwood National Park,41.20897003,-124.1190559,7:03 AM,16:58,Clear,46,51,0,8,8.5
4,Prairie Creek Redwoods State Beach,41.40174089,-124.0416494,7:03 AM,16:58,Clear,46,51,0,8,8.5
5,Humboldt Lagoons State Park,41.22522304,-124.0980863,7:03 AM,16:58,Clear,46,51,0,8,8.5
6,Sue-meg State Park,41.13665293,-124.155297,7:03 AM,16:58,Clear,46,51,0,8,8.5
7,Trinidad State Beach,41.06582175,-124.1497893,7:03 AM,16:58,Clear,46,51,0,8,8.5
8,Little River State Beach,41.01688007,-124.1117529,7:03 AM,16:58,Clear,46,51,0,8,8.5
9,Clam Beach County Park,40.99847401,-124.1151808,7:03 AM,16:58,Clear,46,51,0,8,8.5
10,Sinkyone Wilderness State Park,39.92043479,-123.9397125,7:01 AM,17:01,Partly cloudy,49,54,4,7,7.2
11,Westport-Union Landing State Beach,39.67716307,-123.7912683,6:59 AM,17:00,Clear,46,53,0,6,5.6
12,MacKerricher State Park,39.4886489,-123.7881132,6:58 AM,17:01,Clear,46,53,0,4,6.6
13,Caspar Headlands State Beach,39.3627382,-123.8172252,6:58 AM,17:01,Clear,46,53,0,4,6.6
14,Russian Gulch State Park,39.33310956,-123.8058978,6:58 AM,17:01,Clear,46,53,0,4,6.6
15,Manchester State Park,38.98385949,-123.6993187,6:57 AM,17:02,Partly cloudy,48,53,2,8,6.6
16,Schooner Gulch State Beach,38.86821949,-123.6547063,6:57 AM,17:02,Partly cloudy,48,53,2,8,6.6
17,Glass Beach,39.45277476,-123.8133215,6:58 AM,17:01,Clear,46,53,0,4,6.6
18,Gualala Point Regional Park,38.76076189,-123.526723,6:57 AM,17:02,Partly cloudy,48,53,2,8,6.6
19,Kruse Rhododendron State Reserve,38.59299403,-123.3311264,6:54 AM,17:01,Clear,47,53,0,7,6.2
20,Salt Point State Park,38.57666921,-123.3317278,6:54 AM,17:01,Clear,47,53,0,7,6.2
21,Stillwater Cove Regional Park,38.54852987,-123.2943892,6:54 AM,17:01,Clear,44,53,0,4,4.6
22,Clam Beach,40.99536694,-124.1109588,7:03 AM,16:58,Clear,46,51,0,8,8.5
23,Fort Ross State Historic Park,38.51617729,-123.2460254,6:54 AM,17:01,Clear,44,53,0,4,4.6
24,Goat Rock Beach,38.44711794,-123.1265214,6:53 AM,17:00,Clear,46,53,0,4,4.6
25,Blind Beach,38.43699972,-123.1223772,6:53 AM,17:00,Clear,46,53,0,4,4.6
26,Shell Beach,38.50306292,-123.1417195,6:54 AM,17:01,Clear,44,53,0,4,4.6
27,Wrights Beach,38.40033248,-123.0969266,6:53 AM,17:00,Clear,46,53,0,4,4.6
28,Gleason Beach,38.39010789,-123.0857298,6:53 AM,17:00,Clear,46,53,0,4,4.6
29,Schoolhouse Beach,38.37626954,-123.0786946,6:53 AM,17:00,Clear,46,53,0,4,4.6
30,Carmet Beach,38.37254912,-123.0762862,6:53 AM,17:00,Clear,46,53,0,4,4.6
31,Arched Rock Beach,38.36725878,-123.0726081,6:53 AM,17:00,Clear,46,53,0,4,4.6
32,Coleman Beach,38.36596694,-123.0714996,6:53 AM,17:00,Clear,46,53,0,4,4.6
33,Miwok Beach,38.36111029,-123.0691915,6:53 AM,17:00,Clear,46,53,0,4,4.6
34,North Salmon Creek Beach,38.35991175,-123.0687585,6:53 AM,17:00,Clear,46,53,0,4,4.6
35,South Salmon Creek Beach,38.33989879,-123.0684011,6:53 AM,17:00,Clear,46,53,0,4,4.6
36,Sonoma Coast State Beach,38.42730398,-123.0997142,6:53 AM,17:00,Clear,46,53,0,4,4.6
37,Doran Beach,38.31450636,-123.0443867,6:53 AM,17:00,Clear,46,53,0,5,4.9
38,Doran Regional Park,38.31405857,-123.0487846,6:53 AM,17:00,Clear,46,53,0,5,4.9
39,Tomales Bay State Park,38.12344382,-122.9013544,6:52 AM,17:01,Clear,50,50,0,8,5.6
