beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
1,Pelican State Beach,41.992395,-124.209664,7:12 AM,4:52 PM,Clear,46,48,0,8,3.9
2,Crescent Beach,41.72836258,-124.1531784,7:11 AM,4:53 PM,Clear,44,51,0,5,3
3,Sue-meg State Park,41.13665293,-124.155297,7:09 AM,4:55 PM,Clear,46,48,0,8,3.6
4,Trinidad State Beach,41.06582175,-124.1497893,7:09 AM,4:55 PM,Clear,46,48,0,8,3.6
5,Little River State Beach,41.01688007,-124.1117529,7:09 AM,4:55 PM,Clear,46,48,0,8,3.6
6,Clam Beach County Park,40.99847401,-124.1151808,7:09 AM,4:55 PM,Clear,46,48,0,8,3.6
7,Clam Beach,40.99536694,-124.1109588,7:09 AM,4:55 PM,Clear,46,48,0,8,3.6
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,7:06 AM,4:57 PM,Clear,51,50,0,8,3.9
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,7:04 AM,4:57 PM,Clear,48,49,0,4,3.9
10,MacKerricher Beach,39.489781,-123.798271,7:04 AM,4:57 PM,Clear,48,49,0,6,4.6
11,Glass Beach,39.45277476,-123.8133215,7:04 AM,4:57 PM,Clear,48,49,0,6,4.6
12,Caspar Beach,39.3627382,-123.8172252,7:04 AM,4:58 PM,Clear,48,49,0,6,4.6
13,Mendocino Headlands State Park,39.309033,-123.806658,7:03 AM,4:58 PM,Clear,48,49,0,6,4.6
14,Manchester State Park,38.98385949,-123.6993187,7:02 AM,4:58 PM,Clear,50,49,0,8,4.9
15,Schooner Gulch State Beach,38.86821949,-123.6547063,7:02 AM,4:58 PM,Clear,50,49,0,8,4.9
16,Gualala Point Regional Park,38.76076189,-123.526723,7:02 AM,4:58 PM,Clear,50,49,0,8,4.9
17,Black Point Beach,38.686409,-123.432347,7:00 AM,4:57 PM,Clear,48,48,0,3,4.3
18,Goat Rock Beach,38.44711794,-123.1265214,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
19,Blind Beach,38.43699972,-123.1223772,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
20,Shell Beach,38.417464,-123.105601,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
21,Wrights Beach,38.40033248,-123.0969266,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
22,Gleason Beach,38.39010789,-123.0857298,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
23,Schoolhouse Beach,38.37626954,-123.0786946,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
24,Carmet Beach,38.37254912,-123.0762862,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
25,Arched Rock Beach,38.36725878,-123.0726081,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
26,Coleman Beach,38.36596694,-123.0714996,6:58 AM,4:57 PM,Clear,48,48,0,5,3.3
