"beach_id","beach_name","latitude","longitude","sunrise","sunset","weather_description","temperature","water_temperature","cloud_cover","wind_speed","wave_height"
1,"Pelican State Beach",41.992395,-124.209664,"07:12:00","16:52:00","Clear",46,48,"0",8,3.9
1,"Pelican State Beach",41.992395,-124.209664,"07:06:00","16:57:00","Clear",46,51,"0",10,9.2
1,"Pelican State Beach",41.992395,-124.209664,"07:52:00","18:09:00","Light rain shower",48,52,"100",4,10.5
1,"Pelican State Beach",41.992395,-124.209664,"07:04:00","16:58:00","Light rain shower",48,51,"98",9,6.6
1,"Pelican State Beach",41.992395,-124.209664,"07:05:00","16:58:00","Partly cloudy",45,48,"3",5,6.6
1,"Pelican State Beach",41.992395,-124.209664,"07:09:00","16:55:00","Clear",49,48,"0",6,4.9
2,"Crescent Beach",41.72836258,-124.1531784,"07:11:00","16:53:00","Clear",44,51,"0",5,3
2,"Crescent Beach",41.72836258,-124.1531784,"07:51:00","18:10:00","Light rain shower",46,51,"100",6,7.9
2,"Crescent Beach",41.72836258,-124.1531784,"07:03:00","16:59:00","Patchy rain possible",46,51,"98",10,5.6
2,"Crescent Beach",41.72836258,-124.1531784,"07:08:00","16:55:00","Clear",47,51,"0",4,3.9
2,"Crescent Beach",41.72836258,-124.1531784,"07:04:00","16:58:00","Clear",42,51,"0",5,5.6
2,"Crescent Beach",41.72836258,-124.1531784,"07:05:00","16:57:00","Clear",44,51,"0",9,7.2
3,"Sue-meg State Park",41.13665293,-124.155297,"07:06:00","16:57:00","Clear",48,47,"0",6,4.6
3,"Sue-meg State Park",41.13665293,-124.155297,"07:02:00","16:59:00","Clear",43,51,"0",7,6.9
3,"Sue-meg State Park",41.13665293,-124.155297,"07:03:00","16:58:00","Clear",46,51,"0",8,8.5
3,"Sue-meg State Park",41.13665293,-124.155297,"07:01:00","17:00:00","Cloudy",46,51,"73",4,5.6
3,"Sue-meg State Park",41.13665293,-124.155297,"07:09:00","16:55:00","Clear",46,48,"0",8,3.6
3,"Sue-meg State Park",41.13665293,-124.155297,"07:49:00","18:11:00","Patchy rain possible",47,52,"86",7,9.5
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:02:00","16:59:00","Clear",43,51,"0",7,6.9
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:03:00","16:58:00","Clear",46,51,"0",8,8.5
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:09:00","16:55:00","Clear",46,48,"0",8,3.6
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:49:00","18:11:00","Patchy rain possible",47,52,"86",7,9.5
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:01:00","17:00:00","Cloudy",46,51,"73",4,5.6
4,"Trinidad State Beach",41.06582175,-124.1497893,"07:06:00","16:57:00","Clear",48,47,"0",6,4.6
5,"Little River State Beach",41.01688007,-124.1117529,"07:03:00","16:58:00","Clear",46,51,"0",8,8.5
5,"Little River State Beach",41.01688007,-124.1117529,"07:09:00","16:55:00","Clear",46,48,"0",8,3.6
5,"Little River State Beach",41.01688007,-124.1117529,"07:49:00","18:11:00","Patchy rain possible",47,52,"86",7,9.5
5,"Little River State Beach",41.01688007,-124.1117529,"07:01:00","17:00:00","Cloudy",46,51,"73",4,5.6
5,"Little River State Beach",41.01688007,-124.1117529,"07:06:00","16:57:00","Clear",48,47,"0",6,4.6
5,"Little River State Beach",41.01688007,-124.1117529,"07:02:00","16:59:00","Clear",43,51,"0",7,6.9
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:03:00","16:58:00","Clear",46,51,"0",8,8.5
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:09:00","16:55:00","Clear",46,48,"0",8,3.6
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:49:00","18:11:00","Patchy rain possible",47,52,"86",7,9.5
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:01:00","17:00:00","Cloudy",46,51,"73",4,5.6
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:06:00","16:57:00","Clear",48,47,"0",6,4.6
6,"Clam Beach County Park",40.99847401,-124.1151808,"07:02:00","16:59:00","Clear",43,51,"0",7,6.9
